Date,Coordinates,Value,Nearest_NDVI
2024-06-01,"626930.0, 5802930.0",0.2555743,0.01712133
2024-06-01,"626950.0, 5802930.0",0.1254044,0.3280251
2024-06-01,"626970.0, 5802930.0",0.086964026,0.06395904
2024-06-01,"626990.0, 5802930.0",0.12735127,0.2037196
2024-06-01,"627010.0, 5802930.0",0.11272326,0.05473823
2024-06-01,"627030.0, 5802930.0",0.106095105,0.17102054
2024-06-01,"627050.0, 5802930.0",0.13968956,0.08896033
2024-06-01,"627070.0, 5802930.0",0.13552473,0.09798275
2024-06-01,"627090.0, 5802930.0",0.102381475,0.02080313
2024-06-01,"627110.0, 5802930.0",0.10295597,0.097696796
2024-06-01,"627130.0, 5802930.0",0.10923746,0.023900801
2024-06-01,"627150.0, 5802930.0",0.072705425,0.014243448
2024-06-01,"627170.0, 5802930.0",0.102789246,0.14311077
2024-06-01,"627190.0, 5802930.0",0.11577429,0.031046014
2024-06-01,"627210.0, 5802930.0",0.091819815,0.35588005
2024-06-01,"627230.0, 5802930.0",0.08305782,0.022690358
2024-06-01,"627250.0, 5802930.0",0.16105388,0.24235156
2024-06-01,"627270.0, 5802930.0",0.2193274,0.06790274
2024-06-01,"627290.0, 5802930.0",0.14803898,0.13131914
2024-06-01,"627310.0, 5802930.0",0.084560424,0.32138884
2024-06-01,"627330.0, 5802930.0",0.07927062,0.20780782
2024-06-01,"627350.0, 5802930.0",0.076761164,0.02080712
2024-06-01,"627370.0, 5802930.0",0.09074266,0.02361097
2024-06-01,"627390.0, 5802930.0",0.10408638,0.10879818
2024-06-01,"627410.0, 5802930.0",0.1095495,0.09588255
2024-06-01,"627430.0, 5802930.0",0.096102245,0.13874146
2024-06-01,"627450.0, 5802930.0",0.093317606,0.044118043
2024-06-01,"627470.0, 5802930.0",0.10122329,0.08764307
2024-06-01,"627490.0, 5802930.0",0.117666304,0.06357269
2024-06-01,"627510.0, 5802930.0",0.08636308,0.019681795
2024-06-01,"627530.0, 5802930.0",0.08782965,0.08039701
2024-06-01,"627550.0, 5802930.0",0.10373369,0.08761944
2024-06-01,"627570.0, 5802930.0",0.18225324,0.22445676
2024-06-01,"627590.0, 5802930.0",0.15260927,0.06825638
2024-06-01,"627610.0, 5802930.0",0.1630735,0.13627073
2024-06-01,"627630.0, 5802930.0",0.2027702,0.08835728
2024-06-01,"627650.0, 5802930.0",0.14933532,0.05916787
2024-06-01,"627670.0, 5802930.0",0.19098133,0.13423042
2024-06-01,"627690.0, 5802930.0",0.14354242,0.04474546
2024-06-01,"627710.0, 5802930.0",0.14643617,0.12191056
2024-06-01,"627730.0, 5802930.0",0.15724406,0.11789654
2024-06-01,"627750.0, 5802930.0",0.105964445,0.14086308
2024-06-01,"627770.0, 5802930.0",0.16322905,0.04494416
2024-06-01,"627790.0, 5802930.0",0.14075817,0.013533627
2024-06-01,"627810.0, 5802930.0",0.08983753,0.16347206
2024-06-01,"627830.0, 5802930.0",0.11622447,0.025977334
2024-06-01,"627850.0, 5802930.0",0.21270035,0.024817161
2024-06-01,"627870.0, 5802930.0",0.3436863,0.05589857
2024-06-01,"627890.0, 5802930.0",0.28631276,0.056513052
2024-06-01,"627910.0, 5802930.0",0.13084252,0.030960377
2024-06-01,"627930.0, 5802930.0",0.08934951,0.34237275
2024-06-01,"627950.0, 5802930.0",0.06875956,0.03531056
2024-06-01,"627970.0, 5802930.0",0.10200973,0.28194985
2024-06-01,"627990.0, 5802930.0",0.30021048,0.13377011
2024-06-01,"628010.0, 5802930.0",0.21044274,0.2667741
2024-06-01,"628030.0, 5802930.0",0.14772904,0.14243415
2024-06-01,"628050.0, 5802930.0",0.20137489,0.08307112
2024-06-01,"628070.0, 5802930.0",0.14160097,0.30283472
2024-06-01,"628090.0, 5802930.0",0.0948373,0.08714181
2024-06-01,"628110.0, 5802930.0",0.045836713,0.2020454
2024-06-01,"628130.0, 5802930.0",0.053030275,0.14768694
2024-06-01,"628150.0, 5802930.0",0.03950167,0.0651682
2024-06-01,"628170.0, 5802930.0",0.04398381,0.06975366
2024-06-01,"628190.0, 5802930.0",0.07258104,0.045470778
2024-06-01,"626210.0, 5802910.0",0.063452646,0.22211073
2024-06-01,"626230.0, 5802910.0",0.069129124,0.013121591
2024-06-01,"626250.0, 5802910.0",0.07011991,0.16392374
2024-06-01,"626270.0, 5802910.0",0.0716022,0.08304489
2024-06-01,"626290.0, 5802910.0",0.06463335,0.01379006
2024-06-01,"626310.0, 5802910.0",0.055005163,0.010715085
2024-06-01,"626330.0, 5802910.0",0.0672093,0.081866995
2024-06-01,"626350.0, 5802910.0",0.0787969,0.1705228
2024-06-01,"626370.0, 5802910.0",0.07415424,0.33016875
2024-06-01,"626390.0, 5802910.0",0.17500877,0.08189713
2024-06-01,"626410.0, 5802910.0",0.091817535,0.19800505
2024-06-01,"626430.0, 5802910.0",0.06504913,0.01729876
2024-06-01,"626450.0, 5802910.0",0.15837665,0.0941137
2024-06-01,"626470.0, 5802910.0",0.057921093,0.012434134
