Date,Coordinates,Value
2024-05-01,"629025.0, 5800085.0",0.03035826
2024-05-01,"629035.0, 5800085.0",0.03035826
2024-05-01,"629045.0, 5800085.0",0.035616685
2024-05-01,"629055.0, 5800085.0",0.035616685
2024-05-01,"629065.0, 5800085.0",0.040022567
2024-05-01,"629075.0, 5800085.0",0.040022567
2024-05-01,"629085.0, 5800085.0",0.03294438
2024-05-01,"629095.0, 5800085.0",0.03294438
2024-05-01,"629105.0, 5800085.0",0.03727182
2024-05-01,"629115.0, 5800085.0",0.03727182
2024-05-01,"629125.0, 5800085.0",0.037881237
2024-05-01,"629135.0, 5800085.0",0.037881237
2024-05-01,"629145.0, 5800085.0",0.038198233
2024-05-01,"629155.0, 5800085.0",0.038198233
2024-05-01,"629165.0, 5800085.0",0.056835517
2024-05-01,"629175.0, 5800085.0",0.056835517
2024-05-01,"629185.0, 5800085.0",0.050653536
2024-05-01,"629195.0, 5800085.0",0.050653536
2024-05-01,"629205.0, 5800085.0",0.03987868
2024-05-01,"629215.0, 5800085.0",0.03987868
2024-05-01,"629225.0, 5800085.0",0.034848087
2024-05-01,"629235.0, 5800085.0",0.034848087
2024-05-01,"629245.0, 5800085.0",0.04209016
2024-05-01,"629255.0, 5800085.0",0.04209016
2024-05-01,"629265.0, 5800085.0",0.035306018
2024-05-01,"629275.0, 5800085.0",0.035306018
2024-05-01,"629285.0, 5800085.0",0.035315722
2024-05-01,"629295.0, 5800085.0",0.035315722
2024-05-01,"629305.0, 5800085.0",0.037079696
2024-05-01,"629315.0, 5800085.0",0.037079696
2024-05-01,"629325.0, 5800085.0",0.03303504
2024-05-01,"629335.0, 5800085.0",0.03303504
2024-05-01,"629345.0, 5800085.0",0.036154147
2024-05-01,"629355.0, 5800085.0",0.036154147
2024-05-01,"629365.0, 5800085.0",0.047605485
2024-05-01,"629375.0, 5800085.0",0.047605485
2024-05-01,"629385.0, 5800085.0",0.04535375
2024-05-01,"628805.0, 5800075.0",0.041852918
2024-05-01,"628815.0, 5800075.0",0.041852918
2024-05-01,"628825.0, 5800075.0",0.047105823
2024-05-01,"628835.0, 5800075.0",0.047105823
2024-05-01,"628845.0, 5800075.0",0.065739155
2024-05-01,"628855.0, 5800075.0",0.065739155
2024-05-01,"628865.0, 5800075.0",0.03999497
2024-05-01,"628875.0, 5800075.0",0.03999497
2024-05-01,"628885.0, 5800075.0",0.029481279
2024-05-01,"628895.0, 5800075.0",0.029481279
2024-05-01,"628905.0, 5800075.0",0.038498756
2024-05-01,"628915.0, 5800075.0",0.038498756
2024-05-01,"628925.0, 5800075.0",0.049262244
2024-05-01,"628935.0, 5800075.0",0.049262244
2024-05-01,"628945.0, 5800075.0",0.07471452
2024-05-01,"628955.0, 5800075.0",0.07471452
2024-05-01,"628965.0, 5800075.0",0.09043328
2024-05-01,"628975.0, 5800075.0",0.09043328
2024-05-01,"628985.0, 5800075.0",0.06670294
2024-05-01,"628995.0, 5800075.0",0.06670294
2024-05-01,"629005.0, 5800075.0",0.050058853
2024-05-01,"629015.0, 5800075.0",0.050058853
2024-05-01,"629025.0, 5800075.0",0.037222046
2024-05-01,"629035.0, 5800075.0",0.037222046
2024-05-01,"629045.0, 5800075.0",0.034349572
2024-05-01,"629055.0, 5800075.0",0.034349572
2024-05-01,"629065.0, 5800075.0",0.03385051
2024-05-01,"629075.0, 5800075.0",0.03385051
2024-05-01,"629085.0, 5800075.0",0.03965657
2024-05-01,"629095.0, 5800075.0",0.03965657
2024-05-01,"629105.0, 5800075.0",0.04208943
2024-05-01,"629115.0, 5800075.0",0.04208943
2024-05-01,"629125.0, 5800075.0",0.03970718
2024-05-01,"629135.0, 5800075.0",0.03970718
2024-05-01,"629145.0, 5800075.0",0.045895245
2024-05-01,"629155.0, 5800075.0",0.045895245
2024-05-01,"629165.0, 5800075.0",0.048698913
2024-05-01,"629175.0, 5800075.0",0.048698913
2024-05-01,"629185.0, 5800075.0",0.05082266
2024-05-01,"629195.0, 5800075.0",0.05082266
2024-05-01,"629205.0, 5800075.0",0.042849377
2024-05-01,"629215.0, 5800075.0",0.042849377
2024-05-01,"629225.0, 5800075.0",0.03153227
2024-05-01,"629235.0, 5800075.0",0.03153227
2024-05-01,"629245.0, 5800075.0",0.03628703
2024-05-01,"629255.0, 5800075.0",0.03628703
2024-05-01,"629265.0, 5800075.0",0.037030783
2024-05-01,"629275.0, 5800075.0",0.037030783
2024-05-01,"629285.0, 5800075.0",0.035884764
2024-05-01,"629295.0, 5800075.0",0.035884764
2024-05-01,"629305.0, 5800075.0",0.03508772
2024-05-01,"629315.0, 5800075.0",0.03508772
2024-05-01,"629325.0, 5800075.0",0.030827057
2024-05-01,"629335.0, 5800075.0",0.030827057
2024-05-01,"629345.0, 5800075.0",0.032450303
2024-05-01,"629355.0, 5800075.0",0.032450303
2024-05-01,"629365.0, 5800075.0",0.031850494
2024-05-01,"629375.0, 5800075.0",0.031850494
2024-05-01,"629385.0, 5800075.0",0.032073047
2024-05-01,"628805.0, 5800065.0",0.041852918
2024-05-01,"628815.0, 5800065.0",0.041852918
2024-05-01,"628825.0, 5800065.0",0.047105823
2024-05-01,"628835.0, 5800065.0",0.047105823
2024-05-01,"628845.0, 5800065.0",0.065739155
2024-05-01,"628855.0, 5800065.0",0.065739155
2024-05-01,"628865.0, 5800065.0",0.03999497
2024-05-01,"628875.0, 5800065.0",0.03999497
2024-05-01,"628885.0, 5800065.0",0.029481279
2024-05-01,"628895.0, 5800065.0",0.029481279
2024-05-01,"628905.0, 5800065.0",0.038498756
2024-05-01,"628915.0, 5800065.0",0.038498756
2024-05-01,"628925.0, 5800065.0",0.049262244
2024-05-01,"628935.0, 5800065.0",0.049262244
2024-05-01,"628945.0, 5800065.0",0.07471452
2024-05-01,"628955.0, 5800065.0",0.07471452
2024-05-01,"628965.0, 5800065.0",0.09043328
2024-05-01,"628975.0, 5800065.0",0.09043328
2024-05-01,"628985.0, 5800065.0",0.06670294
2024-05-01,"628995.0, 5800065.0",0.06670294
2024-05-01,"629005.0, 5800065.0",0.050058853
2024-05-01,"629015.0, 5800065.0",0.050058853
2024-05-01,"629025.0, 5800065.0",0.037222046
2024-05-01,"629035.0, 5800065.0",0.037222046
2024-05-01,"629045.0, 5800065.0",0.034349572
2024-05-01,"629055.0, 5800065.0",0.034349572
2024-05-01,"629065.0, 5800065.0",0.03385051
2024-05-01,"629075.0, 5800065.0",0.03385051
2024-05-01,"629085.0, 5800065.0",0.03965657
2024-05-01,"629095.0, 5800065.0",0.03965657
2024-05-01,"629105.0, 5800065.0",0.04208943
2024-05-01,"629115.0, 5800065.0",0.04208943
2024-05-01,"629125.0, 5800065.0",0.03970718
2024-05-01,"629135.0, 5800065.0",0.03970718
2024-05-01,"629145.0, 5800065.0",0.045895245
2024-05-01,"629155.0, 5800065.0",0.045895245
2024-05-01,"629165.0, 5800065.0",0.048698913
2024-05-01,"629175.0, 5800065.0",0.048698913
2024-05-01,"629185.0, 5800065.0",0.05082266
2024-05-01,"629195.0, 5800065.0",0.05082266
2024-05-01,"629205.0, 5800065.0",0.042849377
2024-05-01,"629215.0, 5800065.0",0.042849377
2024-05-01,"629225.0, 5800065.0",0.03153227
2024-05-01,"629235.0, 5800065.0",0.03153227
2024-05-01,"629245.0, 5800065.0",0.03628703
2024-05-01,"629255.0, 5800065.0",0.03628703
2024-05-01,"629265.0, 5800065.0",0.037030783
2024-05-01,"629275.0, 5800065.0",0.037030783
2024-05-01,"629285.0, 5800065.0",0.035884764
2024-05-01,"629295.0, 5800065.0",0.035884764
2024-05-01,"629305.0, 5800065.0",0.03508772
2024-05-01,"629315.0, 5800065.0",0.03508772
2024-05-01,"629325.0, 5800065.0",0.030827057
2024-05-01,"629335.0, 5800065.0",0.030827057
2024-05-01,"629345.0, 5800065.0",0.032450303
2024-05-01,"629355.0, 5800065.0",0.032450303
2024-05-01,"629365.0, 5800065.0",0.031850494
2024-05-01,"629375.0, 5800065.0",0.031850494
2024-05-01,"629385.0, 5800065.0",0.032073047
2024-05-01,"628805.0, 5800055.0",0.08336658
2024-05-01,"628815.0, 5800055.0",0.08336658
2024-05-01,"628825.0, 5800055.0",0.036647923
2024-05-01,"628835.0, 5800055.0",0.036647923
2024-05-01,"628845.0, 5800055.0",0.041603386
2024-05-01,"628855.0, 5800055.0",0.041603386
2024-05-01,"628865.0, 5800055.0",0.030205728
2024-05-01,"628875.0, 5800055.0",0.030205728
2024-05-01,"628885.0, 5800055.0",0.02639615
2024-05-01,"628895.0, 5800055.0",0.02639615
2024-05-01,"628905.0, 5800055.0",0.02564076
2024-05-01,"628915.0, 5800055.0",0.02564076
2024-05-01,"628925.0, 5800055.0",0.037195396
2024-05-01,"628935.0, 5800055.0",0.037195396
2024-05-01,"628945.0, 5800055.0",0.07313566
2024-05-01,"628955.0, 5800055.0",0.07313566
2024-05-01,"628965.0, 5800055.0",0.09487429
2024-05-01,"628975.0, 5800055.0",0.09487429
2024-05-01,"628985.0, 5800055.0",0.08012272
2024-05-01,"628995.0, 5800055.0",0.08012272
2024-05-01,"629005.0, 5800055.0",0.07174719
2024-05-01,"629015.0, 5800055.0",0.07174719
2024-05-01,"629025.0, 5800055.0",0.05333266
2024-05-01,"629035.0, 5800055.0",0.05333266
2024-05-01,"629045.0, 5800055.0",0.0317729
2024-05-01,"629055.0, 5800055.0",0.0317729
2024-05-01,"629065.0, 5800055.0",0.0323597
2024-05-01,"629075.0, 5800055.0",0.0323597
2024-05-01,"629085.0, 5800055.0",0.047545884
2024-05-01,"629095.0, 5800055.0",0.047545884
2024-05-01,"629105.0, 5800055.0",0.049664814
2024-05-01,"629115.0, 5800055.0",0.049664814
2024-05-01,"629125.0, 5800055.0",0.04569401
2024-05-01,"629135.0, 5800055.0",0.04569401
2024-05-01,"629145.0, 5800055.0",0.04591683
2024-05-01,"629155.0, 5800055.0",0.04591683
2024-05-01,"629165.0, 5800055.0",0.043588694
2024-05-01,"629175.0, 5800055.0",0.043588694
2024-05-01,"629185.0, 5800055.0",0.037907906
2024-05-01,"629195.0, 5800055.0",0.037907906
2024-05-01,"629205.0, 5800055.0",0.036741734
2024-05-01,"629215.0, 5800055.0",0.036741734
2024-05-01,"629225.0, 5800055.0",0.03170323
2024-05-01,"629235.0, 5800055.0",0.03170323
2024-05-01,"629245.0, 5800055.0",0.041809272
2024-05-01,"629255.0, 5800055.0",0.041809272
2024-05-01,"629265.0, 5800055.0",0.048134476
2024-05-01,"629275.0, 5800055.0",0.048134476
2024-05-01,"629285.0, 5800055.0",0.035801385
2024-05-01,"629295.0, 5800055.0",0.035801385
2024-05-01,"629305.0, 5800055.0",0.02717911
2024-05-01,"629315.0, 5800055.0",0.02717911
2024-05-01,"629325.0, 5800055.0",0.029637199
2024-05-01,"629335.0, 5800055.0",0.029637199
2024-05-01,"629345.0, 5800055.0",0.031861953
2024-05-01,"629355.0, 5800055.0",0.031861953
2024-05-01,"629365.0, 5800055.0",0.030186132
2024-05-01,"629375.0, 5800055.0",0.030186132
2024-05-01,"629385.0, 5800055.0",0.0308993
2024-05-01,"628805.0, 5800045.0",0.08336658
2024-05-01,"628815.0, 5800045.0",0.08336658
2024-05-01,"628825.0, 5800045.0",0.036647923
2024-05-01,"628835.0, 5800045.0",0.036647923
2024-05-01,"628845.0, 5800045.0",0.041603386
2024-05-01,"628855.0, 5800045.0",0.041603386
2024-05-01,"628865.0, 5800045.0",0.030205728
2024-05-01,"628875.0, 5800045.0",0.030205728
2024-05-01,"628885.0, 5800045.0",0.02639615
2024-05-01,"628895.0, 5800045.0",0.02639615
2024-05-01,"628905.0, 5800045.0",0.02564076
2024-05-01,"628915.0, 5800045.0",0.02564076
2024-05-01,"628925.0, 5800045.0",0.037195396
2024-05-01,"628935.0, 5800045.0",0.037195396
2024-05-01,"628945.0, 5800045.0",0.07313566
2024-05-01,"628955.0, 5800045.0",0.07313566
2024-05-01,"628965.0, 5800045.0",0.09487429
2024-05-01,"628975.0, 5800045.0",0.09487429
2024-05-01,"628985.0, 5800045.0",0.08012272
2024-05-01,"628995.0, 5800045.0",0.08012272
2024-05-01,"629005.0, 5800045.0",0.07174719
2024-05-01,"629015.0, 5800045.0",0.07174719
2024-05-01,"629025.0, 5800045.0",0.05333266
2024-05-01,"629035.0, 5800045.0",0.05333266
2024-05-01,"629045.0, 5800045.0",0.0317729
2024-05-01,"629055.0, 5800045.0",0.0317729
2024-05-01,"629065.0, 5800045.0",0.0323597
2024-05-01,"629075.0, 5800045.0",0.0323597
2024-05-01,"629085.0, 5800045.0",0.047545884
2024-05-01,"629095.0, 5800045.0",0.047545884
2024-05-01,"629105.0, 5800045.0",0.049664814
2024-05-01,"629115.0, 5800045.0",0.049664814
2024-05-01,"629125.0, 5800045.0",0.04569401
2024-05-01,"629135.0, 5800045.0",0.04569401
2024-05-01,"629145.0, 5800045.0",0.04591683
2024-05-01,"629155.0, 5800045.0",0.04591683
2024-05-01,"629165.0, 5800045.0",0.043588694
2024-05-01,"629175.0, 5800045.0",0.043588694
2024-05-01,"629185.0, 5800045.0",0.037907906
2024-05-01,"629195.0, 5800045.0",0.037907906
2024-05-01,"629205.0, 5800045.0",0.036741734
2024-05-01,"629215.0, 5800045.0",0.036741734
2024-05-01,"629225.0, 5800045.0",0.03170323
2024-05-01,"629235.0, 5800045.0",0.03170323
2024-05-01,"629245.0, 5800045.0",0.041809272
2024-05-01,"629255.0, 5800045.0",0.041809272
2024-05-01,"629265.0, 5800045.0",0.048134476
2024-05-01,"629275.0, 5800045.0",0.048134476
2024-05-01,"629285.0, 5800045.0",0.035801385
2024-05-01,"629295.0, 5800045.0",0.035801385
2024-05-01,"629305.0, 5800045.0",0.02717911
2024-05-01,"629315.0, 5800045.0",0.02717911
2024-05-01,"629325.0, 5800045.0",0.029637199
2024-05-01,"629335.0, 5800045.0",0.029637199
2024-05-01,"629345.0, 5800045.0",0.031861953
2024-05-01,"629355.0, 5800045.0",0.031861953
2024-05-01,"629365.0, 5800045.0",0.030186132
2024-05-01,"629375.0, 5800045.0",0.030186132
2024-05-01,"629385.0, 5800045.0",0.0308993
2024-05-01,"628805.0, 5800035.0",0.08365965
2024-05-01,"628815.0, 5800035.0",0.08365965
2024-05-01,"628825.0, 5800035.0",0.03141392
2024-05-01,"628835.0, 5800035.0",0.03141392
2024-05-01,"628845.0, 5800035.0",0.027267367
2024-05-01,"628855.0, 5800035.0",0.027267367
2024-05-01,"628865.0, 5800035.0",0.026899416
2024-05-01,"628875.0, 5800035.0",0.026899416
2024-05-01,"628885.0, 5800035.0",0.037501168
2024-05-01,"628895.0, 5800035.0",0.037501168
2024-05-01,"628905.0, 5800035.0",0.033031065
2024-05-01,"628915.0, 5800035.0",0.033031065
2024-05-01,"628925.0, 5800035.0",0.027245592
2024-05-01,"628935.0, 5800035.0",0.027245592
2024-05-01,"628945.0, 5800035.0",0.05093432
2024-05-01,"628955.0, 5800035.0",0.05093432
2024-05-01,"628965.0, 5800035.0",0.08205184
2024-05-01,"628975.0, 5800035.0",0.08205184
2024-05-01,"628985.0, 5800035.0",0.08649816
2024-05-01,"628995.0, 5800035.0",0.08649816
2024-05-01,"629005.0, 5800035.0",0.07693645
2024-05-01,"629015.0, 5800035.0",0.07693645
2024-05-01,"629025.0, 5800035.0",0.06920889
2024-05-01,"629035.0, 5800035.0",0.06920889
2024-05-01,"629045.0, 5800035.0",0.047183212
2024-05-01,"629055.0, 5800035.0",0.047183212
2024-05-01,"629065.0, 5800035.0",0.036190968
2024-05-01,"629075.0, 5800035.0",0.036190968
2024-05-01,"629085.0, 5800035.0",0.041950572
2024-05-01,"629095.0, 5800035.0",0.041950572
2024-05-01,"629105.0, 5800035.0",0.042078745
2024-05-01,"629115.0, 5800035.0",0.042078745
2024-05-01,"629125.0, 5800035.0",0.043635856
2024-05-01,"629135.0, 5800035.0",0.043635856
2024-05-01,"629145.0, 5800035.0",0.044301283
2024-05-01,"629155.0, 5800035.0",0.044301283
2024-05-01,"629165.0, 5800035.0",0.037557293
2024-05-01,"629175.0, 5800035.0",0.037557293
2024-05-01,"629185.0, 5800035.0",0.032743707
2024-05-01,"629195.0, 5800035.0",0.032743707
2024-05-01,"629205.0, 5800035.0",0.03623459
2024-05-01,"629215.0, 5800035.0",0.03623459
2024-05-01,"629225.0, 5800035.0",0.036736384
2024-05-01,"629235.0, 5800035.0",0.036736384
2024-05-01,"629245.0, 5800035.0",0.07822422
2024-05-01,"629255.0, 5800035.0",0.07822422
2024-05-01,"629265.0, 5800035.0",0.11129943
2024-05-01,"629275.0, 5800035.0",0.11129943
2024-05-01,"629285.0, 5800035.0",0.04695621
2024-05-01,"629295.0, 5800035.0",0.04695621
2024-05-01,"629305.0, 5800035.0",0.027787765
2024-05-01,"629315.0, 5800035.0",0.027787765
2024-05-01,"629325.0, 5800035.0",0.024866387
2024-05-01,"629335.0, 5800035.0",0.024866387
2024-05-01,"629345.0, 5800035.0",0.026122678
2024-05-01,"629355.0, 5800035.0",0.026122678
2024-05-01,"629365.0, 5800035.0",0.03191175
2024-05-01,"629375.0, 5800035.0",0.03191175
2024-05-01,"629385.0, 5800035.0",0.031989455
2024-05-01,"628805.0, 5800025.0",0.08365965
2024-05-01,"628815.0, 5800025.0",0.08365965
2024-05-01,"628825.0, 5800025.0",0.03141392
2024-05-01,"628835.0, 5800025.0",0.03141392
2024-05-01,"628845.0, 5800025.0",0.027267367
2024-05-01,"628855.0, 5800025.0",0.027267367
